# util_output: detail

# resource	operation	var	loadBucket	startBucket	bktLength	rate	load
1361_G79-x-1361_G79	00790908_1361_M-at-1361-187721	OP053220T003	2017-06-01	2017-06-01	 15	 0.2181818	 140.29089355
1361_G79-x-1361_G79	54400908_1361_M-at-1361-187727	OP113512T003	2017-06-01	2017-06-01	 15	 0.2181818	 59.12726593
1361_G79-x-1361_G79	00790908_1361_M-at-1361-187721	OP053220T004	2017-06-16	2017-06-16	 15	 0.2181818	 110.61817169
1361_G79-x-1361_G79	54400908_1361_M-at-1361-187727	OP113512T004	2017-06-16	2017-06-16	 15	 0.2181818	 27.27272415
1361_G79-x-1361_G79	00790908_1361_M-at-1361-187721	OP053220T005	2017-07-01	2017-07-01	 15	 0.2181818	 126.54544067
1361_G79-x-1361_G79	54400908_1361_M-at-1361-187727	OP113512T005	2017-07-01	2017-07-01	 15	 0.2181818	 32.94545364
1361_G79-x-1361_G79	00790908_1361_M-at-1361-187721	OP053220T006	2017-07-16	2017-07-16	 16	 0.2181818	 148.79998779
1361_G79-x-1361_G79	54400908_1361_M-at-1361-187727	OP113512T006	2017-07-16	2017-07-16	 16	 0.2181818	 35.34545135
1361_G79-x-1361_G79	00790908_1361_M-at-1361-187721	OP053220T007	2017-08-01	2017-08-01	 15	 0.2181818	 104.29090118
1361_G79-x-1361_G79	54400908_1361_M-at-1361-187727	OP113512T007	2017-08-01	2017-08-01	 15	 0.2181818	 30.98181534
1361_G79-x-1361_G79	00790908_1361_M-at-1361-187721	OP053220T008	2017-08-16	2017-08-16	 16	 0.2181818	 164.50907898
1361_G79-x-1361_G79	54400908_1361_M-at-1361-187727	OP113512T008	2017-08-16	2017-08-16	 16	 0.2181818	 36.2181778

1356_G79-x-1356_G79	00790908_1356_M-at-1356-187266	OP335801T001	2017-05-01	2017-05-01	 15	 0.53333342	 141.86668396
1356_G79-x-1356_G79	00790908_1356_M-at-1356-187266	OP335801T002	2017-05-16	2017-05-16	 16	 0.53333342	 39.46667099
1356_G79-x-1356_G79	00790908_1356_M-at-1356-187266	OP335801T003	2017-06-01	2017-06-01	 15	 0.53333342	 36.80000305
1356_G79-x-1356_G79	00790908_1356_M-at-1356-187266	OP335801T004	2017-06-16	2017-06-16	 15	 0.53333342	 39.46667099
1356_G79-x-1356_G79	00790908_1356_M-at-1356-187266	OP335801T005	2017-07-01	2017-07-01	 15	 0.53333342	 37.33333969
1356_G79-x-1356_G79	00790908_1356_M-at-1356-187266	OP335801T006	2017-07-16	2017-07-16	 16	 0.53333342	 36.80000305
1356_G79-x-1356_G79	00790908_1356_M-at-1356-187266	OP335801T007	2017-08-01	2017-08-01	 15	 0.53333342	 32.00000381
1356_G79-x-1356_G79	00790908_1356_M-at-1356-187266	OP335801T008	2017-08-16	2017-08-16	 16	 0.53333342	 46.93333817

1352_1352_ATTCAP-x-1352_1352_ATTCAP	00790908_1352_M-at-1352-187248	OP315325T001	2017-05-01	2017-05-01	 15	 2000	 1440000
1352_1352_ATTCAP-x-1352_1352_ATTCAP	00790908_1352_M-at-1352-187248	OP315325T002	2017-05-16	2017-05-16	 16	 2000	 1120000
1352_1352_ATTCAP-x-1352_1352_ATTCAP	00790908_1352_M-at-1352-187248	OP315325T003	2017-06-01	2017-06-01	 15	 2000	 702000
1352_1352_ATTCAP-x-1352_1352_ATTCAP	54400908_1352_M-at-1352-187252	OP377317T003	2017-06-01	2017-06-01	 15	 2000	 198000
1352_1352_ATTCAP-x-1352_1352_ATTCAP	00790908_1352_M-at-1352-187248	OP315325T004	2017-06-16	2017-06-16	 15	 2000	 758000
1352_1352_ATTCAP-x-1352_1352_ATTCAP	54400908_1352_M-at-1352-187252	OP377317T004	2017-06-16	2017-06-16	 15	 2000	 54000
1352_1352_ATTCAP-x-1352_1352_ATTCAP	00790908_1352_M-at-1352-187248	OP315325T005	2017-07-01	2017-07-01	 15	 2000	 910000
1352_1352_ATTCAP-x-1352_1352_ATTCAP	54400908_1352_M-at-1352-187252	OP377317T005	2017-07-01	2017-07-01	 15	 2000	 64000
